Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note,Max Year Code
1,'051,Armenia,21026,Percentage of children under 5 years affected by wasting (percent),6121,Value,2022,2022,%,,X,,2022
1,'051,Armenia,21031,Per capita food supply variability (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,70,E,,2023
1,'051,Armenia,21032,Political stability and absence of violence/terrorism (index),6125,Value,2022,2022,,-0.8,X,,2022
1,'051,Armenia,21033,Value of food imports in total merchandise exports (percent) (3-year average),6121,Value,20202022,2020-2022,%,23,E,,20202022
1,'051,Armenia,21034,Percent of arable land equipped for irrigation (percent) (3-year average),6121,Value,20202022,2020-2022,%,7.3,E,,20202022
1,'051,Armenia,21035,Cereal import dependency ratio (percent) (3-year average),6121,Value,20202022,2020-2022,%,77.6,E,,20202022
1,'051,Armenia,210401F,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,<0.5,A,Official estimate integrated with FAO data,20212023
1,'051,Armenia,210401F,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,<0.5,A,Official estimate integrated with FAO data,20212023
1,'051,Armenia,210401F,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,2.7,A,Official estimate integrated with FAO data,20212023
1,'051,Armenia,210401M,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,<0.5,A,Official estimate integrated with FAO data,20212023
1,'051,Armenia,210401M,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,<0.5,A,Official estimate integrated with FAO data,20212023
1,'051,Armenia,210401M,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,4.4,A,Official estimate integrated with FAO data,20212023
1,'051,Armenia,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),6121,Value,2022,2022,%,11.5,X,,2022
1,'051,Armenia,21042,Prevalence of obesity in the adult population (18 years and older) (percent),6121,Value,2022,2022,%,24.5,X,,2022
1,'051,Armenia,210420,Number of obese adults (18 years and older) (million),6132,Value,2022,2022,million No,0.5,X,,2022
1,'051,Armenia,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2019,2019,%,17.3,X,,2019
1,'051,Armenia,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2022,2022,%,,X,,2022
1,'051,Armenia,21045,Percentage of population using safely managed drinking water services (percent),6121,Value,2022,2022,%,82,X,,2022
1,'051,Armenia,21046,Percentage of population using safely managed sanitation services (percent),6121,Value,2022,2022,%,11,X,,2022
1,'051,Armenia,21047,Percentage of population using at least basic drinking water services (percent),6121,Value,2022,2022,%,99,X,,2022
1,'051,Armenia,21048,Percentage of population using at least basic sanitation services (percent),6121,Value,2022,2022,%,94,X,,2022
1,'051,Armenia,21049,Prevalence of low birthweight (percent),6121,Value,2020,2020,%,8.3,X,,2020
1,'051,Armenia,21056,Minimum dietary energy requirement  (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,1874,E,,2023
1,'051,Armenia,21057,Average dietary energy requirement (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,2421,E,,2023
1,'051,Armenia,21058,Coefficient of variation of habitual caloric consumption distribution (real number),6173,Value,2023,2023,No,0.2,E,,2023
1,'051,Armenia,21059,Incidence of caloric losses at retail distribution level (percent),6121,Value,2023,2023,%,2.5,E,,2023
1,'051,Armenia,21061,Average fat supply (g/cap/day) (3-year average),6123,Value,20202022,2020-2022,g/cap/d,114,E,,20202022
1,'051,Armenia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20212023,2021-2023,kcal/cap/d,3263,E,,20212023
1,'051,Armenia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,3284,E,Imputed value,2023
1,'051,Armenia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2022,2022,Int$/cap,19100.2,X,,2022
2,'004,Afghanistan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20212023,2021-2023,%,30.4,E,,20212023
2,'004,Afghanistan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,85.4,A,FAO data,20212023
2,'004,Afghanistan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,81.4,A,FAO data,20212023
2,'004,Afghanistan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,89.5,A,FAO data,20212023
2,'004,Afghanistan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,76.4,A,FAO data,20212023
2,'004,Afghanistan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,70.7,A,FAO data,20212023
2,'004,Afghanistan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,82,A,FAO data,20212023
2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2021-2023,%,105,E,,20212023
2,'004,Afghanistan,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20202022,2020-2022,%,71,E,,20202022
2,'004,Afghanistan,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20202022,2020-2022,g/cap/d,61.9,E,,20202022
2,'004,Afghanistan,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20202022,2020-2022,g/cap/d,10.2,E,,20202022
2,'004,Afghanistan,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),6121,Value,2022,2022,%,33.1,X,,2022
2,'004,Afghanistan,21026,Percentage of children under 5 years affected by wasting (percent),6121,Value,2022,2022,%,3.6,X,,2022
2,'004,Afghanistan,21031,Per capita food supply variability (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,26,E,,2023
2,'004,Afghanistan,21032,Political stability and absence of violence/terrorism (index),6125,Value,2022,2022,,-2.55,X,,2022
2,'004,Afghanistan,21033,Value of food imports in total merchandise exports (percent) (3-year average),6121,Value,20202022,2020-2022,%,142,E,,20202022
2,'004,Afghanistan,21034,Percent of arable land equipped for irrigation (percent) (3-year average),6121,Value,20202022,2020-2022,%,4.9,E,,20202022
2,'004,Afghanistan,21035,Cereal import dependency ratio (percent) (3-year average),6121,Value,20202022,2020-2022,%,42.5,E,,20202022
2,'004,Afghanistan,210401F,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,34.7,A,FAO data,20212023
2,'004,Afghanistan,210401F,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,29.3,A,FAO data,20212023
2,'004,Afghanistan,210401F,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,40.1,A,FAO data,20212023
2,'004,Afghanistan,210401M,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,26.5,A,FAO data,20212023
2,'004,Afghanistan,210401M,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,21.6,A,FAO data,20212023
2,'004,Afghanistan,210401M,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,31.4,A,FAO data,20212023
2,'004,Afghanistan,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),6121,Value,2022,2022,%,3.7,X,,2022
2,'004,Afghanistan,21042,Prevalence of obesity in the adult population (18 years and older) (percent),6121,Value,2022,2022,%,19.2,X,,2022
2,'004,Afghanistan,210420,Number of obese adults (18 years and older) (million),6132,Value,2022,2022,million No,3.9,X,,2022
2,'004,Afghanistan,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2019,2019,%,42.6,X,,2019
2,'004,Afghanistan,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2022,2022,%,63.3,X,,2022
2,'004,Afghanistan,21045,Percentage of population using safely managed drinking water services (percent),6121,Value,2022,2022,%,30,X,,2022
2,'004,Afghanistan,21047,Percentage of population using at least basic drinking water services (percent),6121,Value,2022,2022,%,82,X,,2022
2,'004,Afghanistan,21048,Percentage of population using at least basic sanitation services (percent),6121,Value,2022,2022,%,56,X,,2022
2,'004,Afghanistan,21049,Prevalence of low birthweight (percent),6121,Value,2020,2020,%,,X,,2020
2,'004,Afghanistan,21056,Minimum dietary energy requirement  (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,1666,E,,2023
2,'004,Afghanistan,21057,Average dietary energy requirement (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,2144,E,,2023
2,'004,Afghanistan,21058,Coefficient of variation of habitual caloric consumption distribution (real number),6173,Value,2023,2023,No,0.4,E,,2023
2,'004,Afghanistan,21059,Incidence of caloric losses at retail distribution level (percent),6121,Value,2023,2023,%,2.63,E,,2023
2,'004,Afghanistan,21061,Average fat supply (g/cap/day) (3-year average),6123,Value,20202022,2020-2022,g/cap/d,43,E,,20202022
2,'004,Afghanistan,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20212023,2021-2023,kcal/cap/d,2242,E,,20212023
2,'004,Afghanistan,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,2242,E,Imputed value,2023
2,'004,Afghanistan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2021,2021,Int$/cap,2138.9,X,,2021
9,'032,Argentina,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20212023,2021-2023,%,3.2,E,,20212023
9,'032,Argentina,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,41.7,A,FAO data,20212023
9,'032,Argentina,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,37.9,A,FAO data,20212023
9,'032,Argentina,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,45.5,A,FAO data,20212023
9,'032,Argentina,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,30.5,A,FAO data,20212023
9,'032,Argentina,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,27.3,A,FAO data,20212023
9,'032,Argentina,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,33.8,A,FAO data,20212023
9,'032,Argentina,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2021-2023,%,137,E,,20212023
9,'032,Argentina,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20202022,2020-2022,%,33,E,,20202022
9,'032,Argentina,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20202022,2020-2022,g/cap/d,119.6,E,,20202022
9,'032,Argentina,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20202022,2020-2022,g/cap/d,74.3,E,,20202022
9,'032,Argentina,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2019,2019,km,0.6,X,,2019
9,'032,Argentina,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),6121,Value,2022,2022,%,9.5,X,,2022
9,'032,Argentina,21026,Percentage of children under 5 years affected by wasting (percent),6121,Value,2022,2022,%,,X,,2022
9,'032,Argentina,21031,Per capita food supply variability (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,13,E,,2023
9,'032,Argentina,21032,Political stability and absence of violence/terrorism (index),6125,Value,2022,2022,,-0.01,X,,2022
9,'032,Argentina,21033,Value of food imports in total merchandise exports (percent) (3-year average),6121,Value,20202022,2020-2022,%,5,E,,20202022
9,'032,Argentina,21034,Percent of arable land equipped for irrigation (percent) (3-year average),6121,Value,20202022,2020-2022,%,0.9,E,,20202022
9,'032,Argentina,21035,Cereal import dependency ratio (percent) (3-year average),6121,Value,20202022,2020-2022,%,-138.2,E,,20202022
9,'032,Argentina,210401F,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,15.7,A,FAO data,20212023
9,'032,Argentina,210401F,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,13.4,A,FAO data,20212023
9,'032,Argentina,210401F,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,18.1,A,FAO data,20212023
9,'032,Argentina,210401M,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,10.4,A,FAO data,20212023
9,'032,Argentina,210401M,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,8.3,A,FAO data,20212023
9,'032,Argentina,210401M,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,12.4,A,FAO data,20212023
9,'032,Argentina,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),6121,Value,2022,2022,%,12.6,X,,2022
9,'032,Argentina,21042,Prevalence of obesity in the adult population (18 years and older) (percent),6121,Value,2022,2022,%,35.4,X,,2022
9,'032,Argentina,210420,Number of obese adults (18 years and older) (million),6132,Value,2022,2022,million No,11.6,X,,2022
9,'032,Argentina,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2019,2019,%,11.9,X,,2019
9,'032,Argentina,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2022,2022,%,,X,,2022
9,'032,Argentina,21046,Percentage of population using safely managed sanitation services (percent),6121,Value,2016,2016,%,46,X,,2016
9,'032,Argentina,21047,Percentage of population using at least basic drinking water services (percent),6121,Value,2016,2016,%,99,X,,2016
9,'032,Argentina,21048,Percentage of population using at least basic sanitation services (percent),6121,Value,2016,2016,%,95,X,,2016
9,'032,Argentina,21049,Prevalence of low birthweight (percent),6121,Value,2020,2020,%,7.4,X,,2020
9,'032,Argentina,21056,Minimum dietary energy requirement  (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,1886,E,,2023
9,'032,Argentina,21057,Average dietary energy requirement (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,2445,E,,2023
9,'032,Argentina,21058,Coefficient of variation of habitual caloric consumption distribution (real number),6173,Value,2023,2023,No,0.28,E,,2023
9,'032,Argentina,21059,Incidence of caloric losses at retail distribution level (percent),6121,Value,2023,2023,%,2.83,E,,2023
9,'032,Argentina,21061,Average fat supply (g/cap/day) (3-year average),6123,Value,20202022,2020-2022,g/cap/d,135.2,E,,20202022
9,'032,Argentina,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20212023,2021-2023,kcal/cap/d,3353,E,,20212023
9,'032,Argentina,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,3367,E,Imputed value,2023
9,'032,Argentina,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2022,2022,Int$/cap,27127.4,X,,2022
16,'050,Bangladesh,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20212023,2021-2023,%,11.9,E,,20212023
16,'050,Bangladesh,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,31.6,A,FAO data,20212023
16,'050,Bangladesh,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,29.3,A,FAO data,20212023
16,'050,Bangladesh,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,33.9,A,FAO data,20212023
16,'050,Bangladesh,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,29.5,A,FAO data,20212023
16,'050,Bangladesh,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,27,A,FAO data,20212023
16,'050,Bangladesh,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,32,A,FAO data,20212023
16,'050,Bangladesh,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2021-2023,%,112,E,,20212023
16,'050,Bangladesh,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20202022,2020-2022,%,74,E,,20202022
16,'050,Bangladesh,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20202022,2020-2022,g/cap/d,66,E,,20202022
16,'050,Bangladesh,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20202022,2020-2022,g/cap/d,15.9,E,,20202022
16,'050,Bangladesh,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2019,2019,km,1.9,X,,2019
16,'050,Bangladesh,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),6121,Value,2022,2022,%,26.4,X,,2022
16,'050,Bangladesh,21026,Percentage of children under 5 years affected by wasting (percent),6121,Value,2022,2022,%,11,X,,2022
16,'050,Bangladesh,21031,Per capita food supply variability (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,33,E,,2023
16,'050,Bangladesh,21032,Political stability and absence of violence/terrorism (index),6125,Value,2022,2022,,-1.09,X,,2022
16,'050,Bangladesh,21033,Value of food imports in total merchandise exports (percent) (3-year average),6121,Value,20202022,2020-2022,%,25,E,,20202022
16,'050,Bangladesh,21034,Percent of arable land equipped for irrigation (percent) (3-year average),6121,Value,20202022,2020-2022,%,62,E,,20202022
16,'050,Bangladesh,21035,Cereal import dependency ratio (percent) (3-year average),6121,Value,20202022,2020-2022,%,15.7,E,,20202022
16,'050,Bangladesh,210401F,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,12.2,A,FAO data,20212023
16,'050,Bangladesh,210401F,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,11,A,FAO data,20212023
16,'050,Bangladesh,210401F,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,13.4,A,FAO data,20212023
16,'050,Bangladesh,210401M,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,10.5,A,FAO data,20212023
16,'050,Bangladesh,210401M,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,9.1,A,FAO data,20212023
16,'050,Bangladesh,210401M,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,12,A,FAO data,20212023
16,'050,Bangladesh,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),6121,Value,2022,2022,%,2.1,X,,2022
16,'050,Bangladesh,21042,Prevalence of obesity in the adult population (18 years and older) (percent),6121,Value,2022,2022,%,5.3,X,,2022
16,'050,Bangladesh,210420,Number of obese adults (18 years and older) (million),6132,Value,2022,2022,million No,6.2,X,,2022
16,'050,Bangladesh,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2019,2019,%,36.7,X,,2019
16,'050,Bangladesh,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2022,2022,%,54.8,X,,2022
16,'050,Bangladesh,21045,Percentage of population using safely managed drinking water services (percent),6121,Value,2022,2022,%,59,X,,2022
16,'050,Bangladesh,21046,Percentage of population using safely managed sanitation services (percent),6121,Value,2022,2022,%,31,X,,2022
16,'050,Bangladesh,21047,Percentage of population using at least basic drinking water services (percent),6121,Value,2022,2022,%,98,X,,2022
16,'050,Bangladesh,21048,Percentage of population using at least basic sanitation services (percent),6121,Value,2022,2022,%,59,X,,2022
16,'050,Bangladesh,21049,Prevalence of low birthweight (percent),6121,Value,2020,2020,%,23,X,,2020
16,'050,Bangladesh,21056,Minimum dietary energy requirement  (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,1792,E,,2023
16,'050,Bangladesh,21057,Average dietary energy requirement (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,2316,E,,2023
16,'050,Bangladesh,21058,Coefficient of variation of habitual caloric consumption distribution (real number),6173,Value,2023,2023,No,0.26,E,,2023
16,'050,Bangladesh,21059,Incidence of caloric losses at retail distribution level (percent),6121,Value,2023,2023,%,2.77,E,,2023
16,'050,Bangladesh,21061,Average fat supply (g/cap/day) (3-year average),6123,Value,20202022,2020-2022,g/cap/d,39.8,E,,20202022
16,'050,Bangladesh,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20212023,2021-2023,kcal/cap/d,2581,E,,20212023
16,'050,Bangladesh,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,2591,E,Imputed value,2023
16,'050,Bangladesh,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2022,2022,Int$/cap,7805.2,X,,2022
19,'068,Bolivia (Plurinational State of),210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20212023,2021-2023,%,23,E,,20212023
19,'068,Bolivia (Plurinational State of),210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,,Q,,20212023
19,'068,Bolivia (Plurinational State of),210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,,Q,,20212023
19,'068,Bolivia (Plurinational State of),210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,,Q,,20212023
19,'068,Bolivia (Plurinational State of),210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,,Q,,20212023
19,'068,Bolivia (Plurinational State of),210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,,Q,,20212023
19,'068,Bolivia (Plurinational State of),210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,,Q,,20212023
19,'068,Bolivia (Plurinational State of),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2021-2023,%,103,E,,20212023
19,'068,Bolivia (Plurinational State of),21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20202022,2020-2022,%,49,E,,20202022
19,'068,Bolivia (Plurinational State of),21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20202022,2020-2022,g/cap/d,79.6,E,,20202022
19,'068,Bolivia (Plurinational State of),21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20202022,2020-2022,g/cap/d,41.6,E,,20202022
19,'068,Bolivia (Plurinational State of),21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),6121,Value,2022,2022,%,11.1,X,,2022
19,'068,Bolivia (Plurinational State of),21026,Percentage of children under 5 years affected by wasting (percent),6121,Value,2022,2022,%,,X,,2022
19,'068,Bolivia (Plurinational State of),21031,Per capita food supply variability (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,30,E,,2023
19,'068,Bolivia (Plurinational State of),21032,Political stability and absence of violence/terrorism (index),6125,Value,2022,2022,,-0.28,X,,2022
19,'068,Bolivia (Plurinational State of),21033,Value of food imports in total merchandise exports (percent) (3-year average),6121,Value,20202022,2020-2022,%,6,E,,20202022
19,'068,Bolivia (Plurinational State of),21034,Percent of arable land equipped for irrigation (percent) (3-year average),6121,Value,20202022,2020-2022,%,0.5,E,,20202022
19,'068,Bolivia (Plurinational State of),21035,Cereal import dependency ratio (percent) (3-year average),6121,Value,20202022,2020-2022,%,15,E,,20202022
19,'068,Bolivia (Plurinational State of),210401F,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,,Q,,20212023
19,'068,Bolivia (Plurinational State of),210401F,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,,Q,,20212023
19,'068,Bolivia (Plurinational State of),210401F,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,,Q,,20212023
19,'068,Bolivia (Plurinational State of),210401M,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,,Q,,20212023
