Survey Code,Survey,Geographic Level Code,Geographic Level,Food Group Code,Food Group,Indicator Code,Indicator,Element Code,Element,Unit,Value,Flag,Note,Area,Year Code,Max Year Code
032_2018,Argentina - 2018,10000,National,FG6,"Fish, shellfish and their products",3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,1.9,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG6,"Fish, shellfish and their products",3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,8.4,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG7,Meat and meat products,3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,149.3,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG7,Meat and meat products,3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,113.3,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG7,Meat and meat products,3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,185.2,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG9,Vegetables and their products,3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,92.6,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG9,Vegetables and their products,3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,56.6,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG9,Vegetables and their products,3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,128.6,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG10,Fruits and their products,3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,52.1,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG10,Fruits and their products,3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,19.4,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG10,Fruits and their products,3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,84.7,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG11,Fats and oils,3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,20,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG11,Fats and oils,3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,13.8,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG11,Fats and oils,3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,26.3,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG12,Sweets and sugars,3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,38.3,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG12,Sweets and sugars,3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,25.9,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG12,Sweets and sugars,3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,50.7,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG13,Spices and condiments,3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,10.3,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG13,Spices and condiments,3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,5.9,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG13,Spices and condiments,3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,14.8,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG14,Beverages,3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,289.9,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG14,Beverages,3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,175.9,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG14,Beverages,3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,403.9,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG15,Foods for particular nutritional uses,3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,1.1,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG15,Foods for particular nutritional uses,3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,0.2,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG15,Foods for particular nutritional uses,3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,1.9,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG17,Food additives,3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,0.8,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG17,Food additives,3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,0.2,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG17,Food additives,3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,1.5,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG18,Composite dishes,3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,3.6,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG18,Composite dishes,3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,2.5,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG18,Composite dishes,3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,4.8,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG19,Savoury snacks,3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,1.4,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG19,Savoury snacks,3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,1.1,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG19,Savoury snacks,3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,1.7,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG0,All food groups,3302,Energy apparent intake,6128A,Average,kcal/cap/d,1822,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG0,All food groups,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,1309,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG0,All food groups,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,2334,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FGD,All food groups (excluding beverages),3302,Energy apparent intake,6128A,Average,kcal/cap/d,1743,E,,Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG1,Cereals and their products,3302,Energy apparent intake,6128A,Average,kcal/cap/d,531,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG1,Cereals and their products,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,450,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG1,Cereals and their products,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,611,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG2,"Roots, tubers, plantains and their products",3302,Energy apparent intake,6128A,Average,kcal/cap/d,41,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG2,"Roots, tubers, plantains and their products",3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,32,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG2,"Roots, tubers, plantains and their products",3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,49,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG3,"Pulses, seeds and nuts and their products",3302,Energy apparent intake,6128A,Average,kcal/cap/d,5,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG3,"Pulses, seeds and nuts and their products",3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,2,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG3,"Pulses, seeds and nuts and their products",3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,8,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG4,Milk and milk products,3302,Energy apparent intake,6128A,Average,kcal/cap/d,117,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG4,Milk and milk products,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,77,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG4,Milk and milk products,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,156,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG5,Eggs and their products,3302,Energy apparent intake,6128A,Average,kcal/cap/d,17,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG5,Eggs and their products,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,11,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG5,Eggs and their products,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,24,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG6,"Fish, shellfish and their products",3302,Energy apparent intake,6128A,Average,kcal/cap/d,5,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG6,"Fish, shellfish and their products",3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,2,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG6,"Fish, shellfish and their products",3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,9,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG7,Meat and meat products,3302,Energy apparent intake,6128A,Average,kcal/cap/d,317,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG7,Meat and meat products,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,232,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG7,Meat and meat products,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,402,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG9,Vegetables and their products,3302,Energy apparent intake,6128A,Average,kcal/cap/d,25,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG9,Vegetables and their products,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,16,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG9,Vegetables and their products,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,35,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG10,Fruits and their products,3302,Energy apparent intake,6128A,Average,kcal/cap/d,34,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG10,Fruits and their products,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,12,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG10,Fruits and their products,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,56,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG11,Fats and oils,3302,Energy apparent intake,6128A,Average,kcal/cap/d,178,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG11,Fats and oils,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,123,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG11,Fats and oils,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,233,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG12,Sweets and sugars,3302,Energy apparent intake,6128A,Average,kcal/cap/d,144,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG12,Sweets and sugars,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,99,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG12,Sweets and sugars,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,189,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG13,Spices and condiments,3302,Energy apparent intake,6128A,Average,kcal/cap/d,15,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG13,Spices and condiments,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,10,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG13,Spices and condiments,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,20,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG14,Beverages,3302,Energy apparent intake,6128A,Average,kcal/cap/d,79,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG14,Beverages,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,43,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG14,Beverages,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,116,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG15,Foods for particular nutritional uses,3302,Energy apparent intake,6128A,Average,kcal/cap/d,0,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG15,Foods for particular nutritional uses,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,0,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG15,Foods for particular nutritional uses,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,1,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG17,Food additives,3302,Energy apparent intake,6128A,Average,kcal/cap/d,3,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG17,Food additives,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,0,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG17,Food additives,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,5,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG18,Composite dishes,3302,Energy apparent intake,6128A,Average,kcal/cap/d,128,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG18,Composite dishes,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,82,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG18,Composite dishes,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,174,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG19,Savoury snacks,3302,Energy apparent intake,6128A,Average,kcal/cap/d,7,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG19,Savoury snacks,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,5,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG19,Savoury snacks,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,9,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG20,Miscellaneous,3302,Energy apparent intake,6128A,Average,kcal/cap/d,175,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG20,Miscellaneous,3302,Energy apparent intake,61281,Confidence interval: Lower bound,kcal/cap/d,108,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG20,Miscellaneous,3302,Energy apparent intake,61282,Confidence interval: Upper bound,kcal/cap/d,243,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG0,All food groups,3303,Protein apparent intake,6123A,Average,g/cap/d,69.2,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG0,All food groups,3303,Protein apparent intake,61231,Confidence interval: Lower bound,g/cap/d,50.5,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG0,All food groups,3303,Protein apparent intake,61232,Confidence interval: Upper bound,g/cap/d,87.9,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FGD,All food groups (excluding beverages),3303,Protein apparent intake,6123A,Average,g/cap/d,68.4,E,,Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG1,Cereals and their products,3303,Protein apparent intake,6123A,Average,g/cap/d,14.6,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG1,Cereals and their products,3303,Protein apparent intake,61231,Confidence interval: Lower bound,g/cap/d,12.6,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG1,Cereals and their products,3303,Protein apparent intake,61232,Confidence interval: Upper bound,g/cap/d,16.7,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG2,"Roots, tubers, plantains and their products",3303,Protein apparent intake,6123A,Average,g/cap/d,1.1,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG2,"Roots, tubers, plantains and their products",3303,Protein apparent intake,61231,Confidence interval: Lower bound,g/cap/d,0.9,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG2,"Roots, tubers, plantains and their products",3303,Protein apparent intake,61232,Confidence interval: Upper bound,g/cap/d,1.3,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG3,"Pulses, seeds and nuts and their products",3303,Protein apparent intake,6123A,Average,g/cap/d,0.3,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG3,"Pulses, seeds and nuts and their products",3303,Protein apparent intake,61231,Confidence interval: Lower bound,g/cap/d,0.2,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG3,"Pulses, seeds and nuts and their products",3303,Protein apparent intake,61232,Confidence interval: Upper bound,g/cap/d,0.5,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
