,Area Code,Item Code,Element Code,Max Year Code
295,5,210071F,6132,20212023
296,5,210071F,61321,20212023
297,5,210071F,61322,20212023
298,5,210071M,6132,20212023
299,5,210071M,61321,20212023
300,5,210071M,61322,20212023
301,5,210081,6132,20212023
302,5,210081,61321,20212023
303,5,210081,61322,20212023
304,5,210081F,6132,20212023
305,5,210081F,61321,20212023
306,5,210081F,61322,20212023
307,5,210081M,6132,20212023
308,5,210081M,61321,20212023
309,5,210081M,61322,20212023
310,5,210091,6121,20212023
311,5,210091,61211,20212023
312,5,210091,61212,20212023
313,5,210091F,6121,20212023
314,5,210091F,61211,20212023
315,5,210091F,61212,20212023
316,5,210091M,6121,20212023
317,5,210091M,61211,20212023
318,5,210091M,61212,20212023
319,5,21025,6121,2022
320,5,210250,6132,2022
321,5,21026,6121,2022
322,5,210260,6132,2023
323,5,21032,6125,2022
324,5,21034,6121,20202022
325,5,210401,6121,20212023
326,5,210401,61211,20212023
327,5,210401,61212,20212023
328,5,210401F,6121,20212023
329,5,210401F,61211,20212023
330,5,210401F,61212,20212023
331,5,210401M,6121,20212023
332,5,210401M,61211,20212023
333,5,210401M,61212,20212023
334,5,21041,6121,2022
335,5,210410,6132,2022
336,5,21042,6121,2022
337,5,210420,6132,2022
338,5,21043,6121,2019
339,5,210430,6132,2019
340,5,21044,6121,2022
341,5,21045,6121,2021
342,5,21046,6121,2022
343,5,21047,6121,2021
344,5,21048,6121,2022
345,5,21049,6121,2020
346,5,210490,6132,2020
347,5,21059,6121,2023
348,6,210011,6132,20212023
349,6,210041,6121,20212023
350,6,210071,6132,20212023
351,6,210071,61321,20212023
352,6,210071,61322,20212023
353,6,210071F,6132,20212023
354,6,210071F,61321,20212023
355,6,210071F,61322,20212023
356,6,210071M,6132,20212023
357,6,210071M,61321,20212023
358,6,210071M,61322,20212023
359,6,210081,6132,20212023
360,6,210081,61321,20212023
361,6,210081,61322,20212023
362,6,210081F,6132,20212023
363,6,210081F,61321,20212023
364,6,210081F,61322,20212023
365,6,210081M,6132,20212023
366,6,210081M,61321,20212023
367,6,210081M,61322,20212023
368,6,210091,6121,20212023
369,6,210091,61211,20212023
370,6,210091,61212,20212023
371,6,210091F,6121,20212023
372,6,210091F,61211,20212023
373,6,210091F,61212,20212023
374,6,210091M,6121,20212023
375,6,210091M,61211,20212023
376,6,210091M,61212,20212023
377,6,21025,6121,2022
378,6,210250,6132,2022
379,6,21026,6121,2022
380,6,210260,6132,2023
381,6,21032,6125,2022
382,6,21034,6121,20202022
383,6,210401,6121,20212023
384,6,210401,61211,20212023
385,6,210401,61212,20212023
386,6,210401F,6121,20212023
387,6,210401F,61211,20212023
388,6,210401F,61212,20212023
389,6,210401M,6121,20212023
390,6,210401M,61211,20212023
391,6,210401M,61212,20212023
392,6,21041,6121,2022
393,6,210410,6132,2022
394,6,21042,6121,2022
395,6,210420,6132,2022
396,6,21043,6121,2019
397,6,210430,6132,2019
398,6,21044,6121,2022
399,6,21045,6121,2022
400,6,21046,6121,2022
401,6,21047,6121,2022
402,6,21048,6121,2022
403,6,21049,6121,2020
404,6,210490,6132,2020
405,6,21059,6121,2023
406,6,22013,6126,2022
407,7,210011,6132,20212023
408,7,210041,6121,20212023
409,7,210071,6132,20212023
410,7,210071,61321,20212023
411,7,210071,61322,20212023
412,7,210071F,6132,20212023
413,7,210071F,61321,20212023
414,7,210071F,61322,20212023
415,7,210071M,6132,20212023
416,7,210071M,61321,20212023
417,7,210071M,61322,20212023
418,7,210081,6132,20212023
419,7,210081,61321,20212023
420,7,210081,61322,20212023
421,7,210081F,6132,20212023
422,7,210081F,61321,20212023
423,7,210081F,61322,20212023
424,7,210081M,6132,20212023
425,7,210081M,61321,20212023
426,7,210081M,61322,20212023
427,7,210091,6121,20212023
428,7,210091,61211,20212023
429,7,210091,61212,20212023
430,7,210091F,6121,20212023
431,7,210091F,61211,20212023
432,7,210091F,61212,20212023
433,7,210091M,6121,20212023
434,7,210091M,61211,20212023
435,7,210091M,61212,20212023
436,7,21010,6121,20212023
437,7,21012,6121,20202022
438,7,21013,6123,20202022
439,7,21014,6123,20202022
440,7,21025,6121,2022
441,7,210250,6132,2022
442,7,21026,6121,2022
443,7,210260,6132,2023
444,7,21031,6128,2023
445,7,21032,6125,2022
446,7,21033,6121,20202022
447,7,21034,6121,20202022
448,7,21035,6121,20202022
449,7,210401,6121,20212023
450,7,210401,61211,20212023
451,7,210401,61212,20212023
452,7,210401F,6121,20212023
453,7,210401F,61211,20212023
454,7,210401F,61212,20212023
455,7,210401M,6121,20212023
456,7,210401M,61211,20212023
457,7,210401M,61212,20212023
458,7,21041,6121,2022
459,7,210410,6132,2022
460,7,21042,6121,2022
461,7,210420,6132,2022
462,7,21043,6121,2019
463,7,210430,6132,2019
464,7,21044,6121,2022
465,7,21047,6121,2022
466,7,21048,6121,2022
467,7,21049,6121,2020
468,7,210490,6132,2020
469,7,21056,6128,2023
470,7,21057,6128,2023
471,7,21058,6173,2023
472,7,21059,6121,2023
473,7,21061,6123,20202022
474,7,22000,6128,20212023
475,7,220001,6128,2023
476,7,22013,6126,2022
477,8,210011,6132,20212023
478,8,210041,6121,20212023
479,8,210071,6132,20212023
480,8,210071,61321,20212023
481,8,210071,61322,20212023
482,8,210071F,6132,20212023
483,8,210071F,61321,20212023
484,8,210071F,61322,20212023
485,8,210071M,6132,20212023
486,8,210071M,61321,20212023
487,8,210071M,61322,20212023
488,8,210081,6132,20212023
489,8,210081,61321,20212023
490,8,210081,61322,20212023
491,8,210081F,6132,20212023
492,8,210081F,61321,20212023
493,8,210081F,61322,20212023
494,8,210081M,6132,20212023
495,8,210081M,61321,20212023
496,8,210081M,61322,20212023
497,8,210091,6121,20212023
498,8,210091,61211,20212023
499,8,210091,61212,20212023
500,8,210091F,6121,20212023
501,8,210091F,61211,20212023
502,8,210091F,61212,20212023
503,8,210091M,6121,20212023
504,8,210091M,61211,20212023
505,8,210091M,61212,20212023
506,8,21012,6121,20202022
507,8,21013,6123,20202022
508,8,21014,6123,20202022
509,8,21025,6121,2022
510,8,210250,6132,2022
511,8,21026,6121,2022
512,8,210260,6132,2023
513,8,21031,6128,2000
514,8,21032,6125,2022
515,8,21033,6121,20202022
516,8,21034,6121,20202022
517,8,21035,6121,20202022
518,8,210401,6121,20212023
519,8,210401,61211,20212023
520,8,210401,61212,20212023
521,8,210401F,6121,20212023
522,8,210401F,61211,20212023
523,8,210401F,61212,20212023
524,8,210401M,6121,20212023
525,8,210401M,61211,20212023
526,8,210401M,61212,20212023
527,8,21041,6121,2022
528,8,210410,6132,2022
529,8,21042,6121,2022
530,8,210420,6132,2022
531,8,21043,6121,2019
532,8,210430,6132,2019
533,8,21044,6121,2022
534,8,21047,6121,2022
535,8,21048,6121,2022
536,8,21049,6121,2020
537,8,210490,6132,2020
538,8,21056,6128,2023
539,8,21057,6128,2023
540,8,21058,6173,2023
541,8,21059,6121,2023
542,8,21061,6123,20202022
543,8,22013,6126,2022
544,9,210011,6132,20212023
545,9,210041,6121,20212023
546,9,210071,6132,20212023
547,9,210071,61321,20212023
548,9,210071,61322,20212023
549,9,210071F,6132,20212023
550,9,210071F,61321,20212023
551,9,210071F,61322,20212023
552,9,210071M,6132,20212023
553,9,210071M,61321,20212023
554,9,210071M,61322,20212023
555,9,210081,6132,20212023
556,9,210081,61321,20212023
557,9,210081,61322,20212023
558,9,210081F,6132,20212023
559,9,210081F,61321,20212023
560,9,210081F,61322,20212023
561,9,210081M,6132,20212023
562,9,210081M,61321,20212023
563,9,210081M,61322,20212023
564,9,210091,6121,20212023
565,9,210091,61211,20212023
566,9,210091,61212,20212023
567,9,210091F,6121,20212023
568,9,210091F,61211,20212023
569,9,210091F,61212,20212023
570,9,210091M,6121,20212023
571,9,210091M,61211,20212023
572,9,210091M,61212,20212023
573,9,21010,6121,20212023
574,9,21012,6121,20202022
575,9,21013,6123,20202022
576,9,21014,6123,20202022
577,9,21016,6124,2019
578,9,21025,6121,2022
579,9,210250,6132,2022
580,9,21026,6121,2022
581,9,210260,6132,2023
582,9,21031,6128,2023
583,9,21032,6125,2022
584,9,21033,6121,20202022
585,9,21034,6121,20202022
586,9,21035,6121,20202022
587,9,210401,6121,20212023
588,9,210401,61211,20212023
589,9,210401,61212,20212023
590,9,210401F,6121,20212023
591,9,210401F,61211,20212023
592,9,210401F,61212,20212023
593,9,210401M,6121,20212023
594,9,210401M,61211,20212023
595,9,210401M,61212,20212023
596,9,21041,6121,2022
597,9,210410,6132,2022
598,9,21042,6121,2022
599,9,210420,6132,2022
600,9,21043,6121,2019
601,9,210430,6132,2019
602,9,21044,6121,2022
603,9,21046,6121,2016
604,9,21047,6121,2016
605,9,21048,6121,2016
606,9,21049,6121,2020
607,9,210490,6132,2020
608,9,21056,6128,2023
609,9,21057,6128,2023
610,9,21058,6173,2023
611,9,21059,6121,2023
612,9,21061,6123,20202022
613,9,22000,6128,20212023
614,9,220001,6128,2023
615,9,22013,6126,2022
616,10,210011,6132,20212023
617,10,210041,6121,20212023
618,10,210071,6132,20212023
619,10,210071,61321,20212023
620,10,210071,61322,20212023
621,10,210071F,6132,20212023
622,10,210071F,61321,20212023
623,10,210071F,61322,20212023
624,10,210071M,6132,20212023
625,10,210071M,61321,20212023
626,10,210071M,61322,20212023
627,10,210081,6132,20212023
628,10,210081,61321,20212023
629,10,210081,61322,20212023
630,10,210081F,6132,20212023
631,10,210081F,61321,20212023
632,10,210081F,61322,20212023
633,10,210081M,6132,20212023
634,10,210081M,61321,20212023
635,10,210081M,61322,20212023
636,10,210091,6121,20212023
637,10,210091,61211,20212023
638,10,210091,61212,20212023
639,10,210091F,6121,20212023
640,10,210091F,61211,20212023
641,10,210091F,61212,20212023
642,10,210091M,6121,20212023
643,10,210091M,61211,20212023
644,10,210091M,61212,20212023
645,10,21010,6121,20212023
646,10,21012,6121,20202022
647,10,21013,6123,20202022
648,10,21014,6123,20202022
649,10,21025,6121,2022
650,10,210250,6132,2022
651,10,21026,6121,2022
652,10,210260,6132,2023
653,10,21031,6128,2023
654,10,21032,6125,2022
655,10,21033,6121,20202022
656,10,21034,6121,20202022
657,10,21035,6121,20202022
658,10,210401,6121,20212023
659,10,210401,61211,20212023
660,10,210401,61212,20212023
661,10,210401F,6121,20212023
662,10,210401F,61211,20212023
663,10,210401F,61212,20212023
664,10,210401M,6121,20212023
665,10,210401M,61211,20212023
666,10,210401M,61212,20212023
667,10,21041,6121,2022
668,10,210410,6132,2022
669,10,21042,6121,2022
670,10,210420,6132,2022
671,10,21043,6121,2019
672,10,210430,6132,2019
673,10,21044,6121,2022
674,10,21046,6121,2022
675,10,21047,6121,2022
676,10,21048,6121,2022
677,10,21049,6121,2020
678,10,210490,6132,2020
679,10,21056,6128,2023
680,10,21057,6128,2023
681,10,21058,6173,2023
682,10,21059,6121,2023
683,10,21061,6123,20202022
684,10,22000,6128,20212023
685,10,220001,6128,2023
686,10,22013,6126,2022
687,11,210011,6132,20212023
688,11,210041,6121,20212023
689,11,210071,6132,20212023
690,11,210071,61321,20212023
691,11,210071,61322,20212023
692,11,210071F,6132,20212023
693,11,210071F,61321,20212023
694,11,210071F,61322,20212023
695,11,210071M,6132,20212023
696,11,210071M,61321,20212023
697,11,210071M,61322,20212023
698,11,210081,6132,20212023
699,11,210081,61321,20212023
700,11,210081,61322,20212023
701,11,210081F,6132,20212023
702,11,210081F,61321,20212023
703,11,210081F,61322,20212023
704,11,210081M,6132,20212023
705,11,210081M,61321,20212023
706,11,210081M,61322,20212023
707,11,210091,6121,20212023
708,11,210091,61211,20212023
709,11,210091,61212,20212023
710,11,210091F,6121,20212023
711,11,210091F,61211,20212023
712,11,210091F,61212,20212023
713,11,210091M,6121,20212023
714,11,210091M,61211,20212023
715,11,210091M,61212,20212023
716,11,21010,6121,20212023
717,11,21012,6121,20202022
718,11,21013,6123,20202022
719,11,21014,6123,20202022
720,11,21016,6124,2021
721,11,21025,6121,2022
722,11,210250,6132,2022
723,11,21026,6121,2022
724,11,210260,6132,2023
725,11,21031,6128,2023
726,11,21032,6125,2022
727,11,21033,6121,20202022
728,11,21034,6121,20202022
729,11,21035,6121,20202022
730,11,210401,6121,20212023
731,11,210401,61211,20212023
732,11,210401,61212,20212023
733,11,210401F,6121,20212023
734,11,210401F,61211,20212023
735,11,210401F,61212,20212023
736,11,210401M,6121,20212023
737,11,210401M,61211,20212023
738,11,210401M,61212,20212023
739,11,21041,6121,2022
740,11,210410,6132,2022
741,11,21042,6121,2022
742,11,210420,6132,2022
743,11,21043,6121,2019
744,11,210430,6132,2019
745,11,21044,6121,2022
746,11,21045,6121,2022
747,11,21046,6121,2022
748,11,21047,6121,2022
749,11,21048,6121,2022
750,11,21049,6121,2020
751,11,210490,6132,2020
752,11,21056,6128,2023
753,11,21057,6128,2023
754,11,21058,6173,2023
755,11,21059,6121,2023
756,11,21061,6123,20202022
757,11,22000,6128,20212023
758,11,220001,6128,2023
759,11,22013,6126,2022
760,12,210011,6132,20212023
761,12,210041,6121,20212023
762,12,210071,6132,20212023
763,12,210071,61321,20212023
764,12,210071,61322,20212023
765,12,210071F,6132,20212023
766,12,210071F,61321,20212023
767,12,210071F,61322,20212023
768,12,210071M,6132,20212023
769,12,210071M,61321,20212023
770,12,210071M,61322,20212023
771,12,210081,6132,20212023
772,12,210081,61321,20212023
773,12,210081,61322,20212023
774,12,210081F,6132,20212023
775,12,210081F,61321,20212023
776,12,210081F,61322,20212023
777,12,210081M,6132,20212023
778,12,210081M,61321,20212023
779,12,210081M,61322,20212023
780,12,210091,6121,20212023
781,12,210091,61211,20212023
782,12,210091,61212,20212023
783,12,210091F,6121,20212023
784,12,210091F,61211,20212023
785,12,210091F,61212,20212023
786,12,210091M,6121,20212023
787,12,210091M,61211,20212023
788,12,210091M,61212,20212023
789,12,21012,6121,20202022
790,12,21013,6123,20202022
791,12,21014,6123,20202022
792,12,21025,6121,2022
793,12,210250,6132,2022
794,12,21026,6121,2022
795,12,210260,6132,2023
796,12,21031,6128,2000
797,12,21032,6125,2022
798,12,21033,6121,20202022
799,12,21034,6121,20202022
800,12,21035,6121,20202022
801,12,210401,6121,20212023
802,12,210401,61211,20212023
803,12,210401,61212,20212023
804,12,210401F,6121,20212023
805,12,210401F,61211,20212023
806,12,210401F,61212,20212023
807,12,210401M,6121,20212023
808,12,210401M,61211,20212023
809,12,210401M,61212,20212023
810,12,21041,6121,2022
811,12,210410,6132,2022
812,12,21042,6121,2022
813,12,210420,6132,2022
814,12,21043,6121,2019
815,12,210430,6132,2019
816,12,21044,6121,2022
817,12,21047,6121,2019
818,12,21048,6121,2019
819,12,21049,6121,2020
820,12,210490,6132,2020
821,12,21056,6128,2023
822,12,21057,6128,2023
823,12,21058,6173,2023
824,12,21059,6121,2023
825,12,21061,6123,20202022
826,12,22013,6126,2022
827,13,210011,6132,20212023
828,13,210041,6121,20212023
829,13,210071,6132,20212023
830,13,210071,61321,20212023
831,13,210071,61322,20212023
832,13,210071F,6132,20212023
833,13,210071F,61321,20212023
834,13,210071F,61322,20212023
835,13,210071M,6132,20212023
836,13,210071M,61321,20212023
837,13,210071M,61322,20212023
838,13,210081,6132,20212023
839,13,210081,61321,20212023
840,13,210081,61322,20212023
841,13,210081F,6132,20212023
842,13,210081F,61321,20212023
843,13,210081F,61322,20212023
844,13,210081M,6132,20212023
845,13,210081M,61321,20212023
846,13,210081M,61322,20212023
847,13,210091,6121,20212023
848,13,210091,61211,20212023
849,13,210091,61212,20212023
850,13,210091F,6121,20212023
851,13,210091F,61211,20212023
852,13,210091F,61212,20212023
853,13,210091M,6121,20212023
854,13,210091M,61211,20212023
855,13,210091M,61212,20212023
856,13,21012,6121,20202022
857,13,21013,6123,20202022
858,13,21014,6123,20202022
859,13,21025,6121,2022
860,13,210250,6132,2022
861,13,21026,6121,2022
862,13,210260,6132,2023
863,13,21032,6125,2022
864,13,21033,6121,20202022
865,13,21034,6121,20202022
866,13,210401,6121,20212023
867,13,210401,61211,20212023
868,13,210401,61212,20212023
869,13,210401F,6121,20212023
870,13,210401F,61211,20212023
871,13,210401F,61212,20212023
872,13,210401M,6121,20212023
873,13,210401M,61211,20212023
874,13,210401M,61212,20212023
875,13,21041,6121,2022
876,13,210410,6132,2022
877,13,21042,6121,2022
878,13,210420,6132,2022
879,13,21043,6121,2019
880,13,210430,6132,2019
881,13,21044,6121,2022
882,13,21045,6121,2022
883,13,21046,6121,2022
884,13,21047,6121,2022
885,13,21048,6121,2022
886,13,21049,6121,2020
887,13,210490,6132,2020
888,13,21056,6128,2023
889,13,21057,6128,2023
890,13,21058,6173,2023
891,13,21059,6121,2023
892,13,21061,6123,20202022
893,13,22013,6126,2022
894,14,210011,6132,20212023
895,14,210041,6121,20212023
896,14,210071,6132,20212023
897,14,210071,61321,20212023
898,14,210071,61322,20212023
899,14,210071F,6132,20212023
900,14,210071F,61321,20212023
901,14,210071F,61322,20212023
902,14,210071M,6132,20212023
903,14,210071M,61321,20212023
904,14,210071M,61322,20212023
905,14,210081,6132,20212023
906,14,210081,61321,20212023
907,14,210081,61322,20212023
908,14,210081F,6132,20212023
909,14,210081F,61321,20212023
910,14,210081F,61322,20212023
911,14,210081M,6132,20212023
912,14,210081M,61321,20212023
913,14,210081M,61322,20212023
914,14,210091,6121,20212023
915,14,210091,61211,20212023
916,14,210091,61212,20212023
917,14,210091F,6121,20212023
918,14,210091F,61211,20212023
919,14,210091F,61212,20212023
920,14,210091M,6121,20212023
921,14,210091M,61211,20212023
922,14,210091M,61212,20212023
923,14,21010,6121,20212023
924,14,21012,6121,20202022
925,14,21013,6123,20202022
926,14,21014,6123,20202022
927,14,21025,6121,2022
928,14,210250,6132,2022
929,14,21026,6121,2022
930,14,210260,6132,2023
931,14,21031,6128,2023
932,14,21032,6125,2022
933,14,21033,6121,20202022
934,14,21034,6121,20202022
935,14,21035,6121,20202022
936,14,210401,6121,20212023
937,14,210401,61211,20212023
938,14,210401,61212,20212023
939,14,210401F,6121,20212023
940,14,210401F,61211,20212023
941,14,210401F,61212,20212023
942,14,210401M,6121,20212023
943,14,210401M,61211,20212023
944,14,210401M,61212,20212023
945,14,21041,6121,2022
946,14,210410,6132,2022
947,14,21042,6121,2022
948,14,210420,6132,2022
949,14,21043,6121,2019
950,14,210430,6132,2019
951,14,21044,6121,2022
952,14,21047,6121,2022
953,14,21048,6121,2022
954,14,21049,6121,2020
955,14,210490,6132,2020
956,14,21056,6128,2023
957,14,21057,6128,2023
958,14,21058,6173,2023
959,14,21059,6121,2023
960,14,21061,6123,20202022
961,14,22000,6128,20212023
962,14,220001,6128,2023
963,14,22013,6126,2022
964,16,210011,6132,20212023
965,16,210041,6121,20212023
966,16,210071,6132,20212023
967,16,210071,61321,20212023
968,16,210071,61322,20212023
969,16,210071F,6132,20212023
970,16,210071F,61321,20212023
971,16,210071F,61322,20212023
972,16,210071M,6132,20212023
973,16,210071M,61321,20212023
974,16,210071M,61322,20212023
975,16,210081,6132,20212023
976,16,210081,61321,20212023
977,16,210081,61322,20212023
978,16,210081F,6132,20212023
979,16,210081F,61321,20212023
980,16,210081F,61322,20212023
981,16,210081M,6132,20212023
982,16,210081M,61321,20212023
983,16,210081M,61322,20212023
984,16,210091,6121,20212023
985,16,210091,61211,20212023
986,16,210091,61212,20212023
987,16,210091F,6121,20212023
988,16,210091F,61211,20212023
989,16,210091F,61212,20212023
990,16,210091M,6121,20212023
991,16,210091M,61211,20212023
992,16,210091M,61212,20212023
993,16,21010,6121,20212023
