Area,Food Group Indicator,Unit,Value
Afghanistan,"Iron apparent intake of Pulses, seeds and nuts and their products",mg/cap/d,1.6
Afghanistan,Iron apparent intake of Milk and milk products,mg/cap/d,0.1
Afghanistan,Iron apparent intake of Eggs and their products,mg/cap/d,0.1
Afghanistan,"Iron apparent intake of Fish, shellfish and their products",mg/cap/d,0.0
Afghanistan,Iron apparent intake of Meat and meat products,mg/cap/d,0.2
Afghanistan,Iron apparent intake of Vegetables and their products,mg/cap/d,1.2
Afghanistan,Iron apparent intake of Fruits and their products,mg/cap/d,0.3
Afghanistan,Iron apparent intake of Fats and oils,mg/cap/d,0.0
Afghanistan,Iron apparent intake of Sweets and sugars,mg/cap/d,0.2
Afghanistan,Iron apparent intake of Spices and condiments,mg/cap/d,0.3
Afghanistan,Iron apparent intake of Beverages,mg/cap/d,0.0
Afghanistan,Iron apparent intake of Miscellaneous,mg/cap/d,0.2
Afghanistan,Zinc apparent intake of All food groups,mg/cap/d,9.95
Afghanistan,Zinc apparent intake of All food groups (excluding beverages),mg/cap/d,9.95
Afghanistan,Zinc apparent intake of Cereals and their products,mg/cap/d,7.1
Afghanistan,"Zinc apparent intake of Roots, tubers, plantains and their products",mg/cap/d,0.24
Afghanistan,"Zinc apparent intake of Pulses, seeds and nuts and their products",mg/cap/d,0.75
Afghanistan,Zinc apparent intake of Milk and milk products,mg/cap/d,0.35
Afghanistan,Zinc apparent intake of Eggs and their products,mg/cap/d,0.11
Afghanistan,"Zinc apparent intake of Fish, shellfish and their products",mg/cap/d,0.0
Afghanistan,Zinc apparent intake of Meat and meat products,mg/cap/d,0.48
Afghanistan,Zinc apparent intake of Vegetables and their products,mg/cap/d,0.51
Afghanistan,Zinc apparent intake of Fruits and their products,mg/cap/d,0.1
Afghanistan,Zinc apparent intake of Fats and oils,mg/cap/d,0.0
Afghanistan,Zinc apparent intake of Sweets and sugars,mg/cap/d,0.11
Afghanistan,Zinc apparent intake of Spices and condiments,mg/cap/d,0.07
Afghanistan,Zinc apparent intake of Beverages,mg/cap/d,0.0
Afghanistan,Zinc apparent intake of Miscellaneous,mg/cap/d,0.14
Afghanistan,Magnesium apparent intake of All food groups,mg/cap/d,405.0
Afghanistan,Magnesium apparent intake of All food groups (excluding beverages),mg/cap/d,405.0
Afghanistan,Magnesium apparent intake of Cereals and their products,mg/cap/d,282.0
Afghanistan,"Magnesium apparent intake of Roots, tubers, plantains and their products",mg/cap/d,12.0
Afghanistan,"Magnesium apparent intake of Pulses, seeds and nuts and their products",mg/cap/d,37.0
Afghanistan,Magnesium apparent intake of Milk and milk products,mg/cap/d,13.0
Afghanistan,Magnesium apparent intake of Eggs and their products,mg/cap/d,1.0
Afghanistan,"Magnesium apparent intake of Fish, shellfish and their products",mg/cap/d,0.0
Afghanistan,Magnesium apparent intake of Meat and meat products,mg/cap/d,4.0
Afghanistan,Magnesium apparent intake of Vegetables and their products,mg/cap/d,29.0
Afghanistan,Magnesium apparent intake of Fruits and their products,mg/cap/d,11.0
Afghanistan,Magnesium apparent intake of Fats and oils,mg/cap/d,0.0
Afghanistan,Magnesium apparent intake of Sweets and sugars,mg/cap/d,4.0
Afghanistan,Magnesium apparent intake of Spices and condiments,mg/cap/d,5.0
Afghanistan,Magnesium apparent intake of Beverages,mg/cap/d,0.0
Afghanistan,Magnesium apparent intake of Miscellaneous,mg/cap/d,7.0
Afghanistan,Phosphorus apparent intake of All food groups,mg/cap/d,997.0
Afghanistan,Phosphorus apparent intake of All food groups (excluding beverages),mg/cap/d,997.0
Afghanistan,Phosphorus apparent intake of Cereals and their products,mg/cap/d,675.0
Afghanistan,"Phosphorus apparent intake of Roots, tubers, plantains and their products",mg/cap/d,20.0
Afghanistan,"Phosphorus apparent intake of Pulses, seeds and nuts and their products",mg/cap/d,86.0
Afghanistan,Phosphorus apparent intake of Milk and milk products,mg/cap/d,79.0
Afghanistan,Phosphorus apparent intake of Eggs and their products,mg/cap/d,11.0
Afghanistan,"Phosphorus apparent intake of Fish, shellfish and their products",mg/cap/d,1.0
Afghanistan,Phosphorus apparent intake of Meat and meat products,mg/cap/d,29.0
Afghanistan,Phosphorus apparent intake of Vegetables and their products,mg/cap/d,42.0
Afghanistan,Phosphorus apparent intake of Fruits and their products,mg/cap/d,16.0
Afghanistan,Phosphorus apparent intake of Fats and oils,mg/cap/d,0.0
Afghanistan,Phosphorus apparent intake of Sweets and sugars,mg/cap/d,13.0
Afghanistan,Phosphorus apparent intake of Spices and condiments,mg/cap/d,7.0
Afghanistan,Phosphorus apparent intake of Beverages,mg/cap/d,0.0
Afghanistan,Phosphorus apparent intake of Miscellaneous,mg/cap/d,17.0
Afghanistan,Potassium apparent intake of All food groups,mg/cap/d,2164.0
Afghanistan,Potassium apparent intake of All food groups (excluding beverages),mg/cap/d,2161.0
Afghanistan,Potassium apparent intake of Cereals and their products,mg/cap/d,887.0
Afghanistan,"Potassium apparent intake of Roots, tubers, plantains and their products",mg/cap/d,236.0
Afghanistan,"Potassium apparent intake of Pulses, seeds and nuts and their products",mg/cap/d,266.0
Afghanistan,Potassium apparent intake of Milk and milk products,mg/cap/d,143.0
Afghanistan,Potassium apparent intake of Eggs and their products,mg/cap/d,5.0
Afghanistan,"Potassium apparent intake of Fish, shellfish and their products",mg/cap/d,1.0
Afghanistan,Potassium apparent intake of Meat and meat products,mg/cap/d,49.0
Afghanistan,Potassium apparent intake of Vegetables and their products,mg/cap/d,310.0
Afghanistan,Potassium apparent intake of Fruits and their products,mg/cap/d,127.0
Afghanistan,Potassium apparent intake of Fats and oils,mg/cap/d,0.0
Afghanistan,Potassium apparent intake of Sweets and sugars,mg/cap/d,27.0
Afghanistan,Potassium apparent intake of Spices and condiments,mg/cap/d,49.0
Afghanistan,Potassium apparent intake of Beverages,mg/cap/d,3.0
Afghanistan,Potassium apparent intake of Miscellaneous,mg/cap/d,61.0
Afghanistan,Thiamin apparent intake of All food groups,mg/cap/d,1.13
Afghanistan,Thiamin apparent intake of All food groups (excluding beverages),mg/cap/d,1.13
Afghanistan,Thiamin apparent intake of Cereals and their products,mg/cap/d,0.76
Afghanistan,"Thiamin apparent intake of Roots, tubers, plantains and their products",mg/cap/d,0.03
Afghanistan,"Thiamin apparent intake of Pulses, seeds and nuts and their products",mg/cap/d,0.12
Afghanistan,Thiamin apparent intake of Milk and milk products,mg/cap/d,0.04
Afghanistan,Thiamin apparent intake of Eggs and their products,mg/cap/d,0.01
Afghanistan,"Thiamin apparent intake of Fish, shellfish and their products",mg/cap/d,0.0
Afghanistan,Thiamin apparent intake of Meat and meat products,mg/cap/d,0.02
Afghanistan,Thiamin apparent intake of Vegetables and their products,mg/cap/d,0.07
Afghanistan,Thiamin apparent intake of Fruits and their products,mg/cap/d,0.04
Afghanistan,Thiamin apparent intake of Fats and oils,mg/cap/d,0.0
Afghanistan,Thiamin apparent intake of Sweets and sugars,mg/cap/d,0.01
Afghanistan,Thiamin apparent intake of Spices and condiments,mg/cap/d,0.01
Afghanistan,Thiamin apparent intake of Beverages,mg/cap/d,0.0
Afghanistan,Thiamin apparent intake of Miscellaneous,mg/cap/d,0.02
Afghanistan,Riboflavin apparent intake of All food groups,mg/cap/d,0.82
Afghanistan,Riboflavin apparent intake of All food groups (excluding beverages),mg/cap/d,0.82
Afghanistan,Riboflavin apparent intake of Cereals and their products,mg/cap/d,0.37
Afghanistan,"Riboflavin apparent intake of Roots, tubers, plantains and their products",mg/cap/d,0.02
Afghanistan,"Riboflavin apparent intake of Pulses, seeds and nuts and their products",mg/cap/d,0.05
Afghanistan,Riboflavin apparent intake of Milk and milk products,mg/cap/d,0.17
Afghanistan,Riboflavin apparent intake of Eggs and their products,mg/cap/d,0.02
Afghanistan,"Riboflavin apparent intake of Fish, shellfish and their products",mg/cap/d,0.0
Afghanistan,Riboflavin apparent intake of Meat and meat products,mg/cap/d,0.03
Afghanistan,Riboflavin apparent intake of Vegetables and their products,mg/cap/d,0.08
Afghanistan,Riboflavin apparent intake of Fruits and their products,mg/cap/d,0.03
Afghanistan,Riboflavin apparent intake of Fats and oils,mg/cap/d,0.0
Afghanistan,Riboflavin apparent intake of Sweets and sugars,mg/cap/d,0.02
Afghanistan,Riboflavin apparent intake of Spices and condiments,mg/cap/d,0.01
Afghanistan,Riboflavin apparent intake of Beverages,mg/cap/d,0.0
Afghanistan,Riboflavin apparent intake of Miscellaneous,mg/cap/d,0.02
Afghanistan,Vitamin B6 apparent intake of All food groups,mg/cap/d,1.06
Afghanistan,Vitamin B6 apparent intake of All food groups (excluding beverages),mg/cap/d,1.06
Afghanistan,Vitamin B6 apparent intake of Cereals and their products,mg/cap/d,0.47
Afghanistan,"Vitamin B6 apparent intake of Roots, tubers, plantains and their products",mg/cap/d,0.08
Afghanistan,"Vitamin B6 apparent intake of Pulses, seeds and nuts and their products",mg/cap/d,0.11
Afghanistan,Vitamin B6 apparent intake of Milk and milk products,mg/cap/d,0.06
Afghanistan,Vitamin B6 apparent intake of Eggs and their products,mg/cap/d,0.01
Afghanistan,"Vitamin B6 apparent intake of Fish, shellfish and their products",mg/cap/d,0.0
Afghanistan,Vitamin B6 apparent intake of Meat and meat products,mg/cap/d,0.06
Afghanistan,Vitamin B6 apparent intake of Vegetables and their products,mg/cap/d,0.15
Afghanistan,Vitamin B6 apparent intake of Fruits and their products,mg/cap/d,0.05
Afghanistan,Vitamin B6 apparent intake of Fats and oils,mg/cap/d,0.0
Afghanistan,Vitamin B6 apparent intake of Sweets and sugars,mg/cap/d,0.01
Afghanistan,Vitamin B6 apparent intake of Spices and condiments,mg/cap/d,0.03
Afghanistan,Vitamin B6 apparent intake of Beverages,mg/cap/d,0.0
Afghanistan,Vitamin B6 apparent intake of Miscellaneous,mg/cap/d,0.03
Afghanistan,Vitamin A apparent intake (retinol equivalents) of All food groups,µg/cap/d,356.0
Afghanistan,Vitamin A apparent intake (retinol equivalents) of All food groups (excluding beverages),µg/cap/d,356.0
Afghanistan,Vitamin A apparent intake (retinol equivalents) of Cereals and their products,µg/cap/d,2.0
Afghanistan,"Vitamin A apparent intake (retinol equivalents) of Roots, tubers, plantains and their products",µg/cap/d,2.0
Afghanistan,"Vitamin A apparent intake (retinol equivalents) of Pulses, seeds and nuts and their products",µg/cap/d,2.0
Afghanistan,Vitamin A apparent intake (retinol equivalents) of Milk and milk products,µg/cap/d,15.0
Afghanistan,Vitamin A apparent intake (retinol equivalents) of Eggs and their products,µg/cap/d,10.0
Afghanistan,"Vitamin A apparent intake (retinol equivalents) of Fish, shellfish and their products",µg/cap/d,0.0
Afghanistan,Vitamin A apparent intake (retinol equivalents) of Meat and meat products,µg/cap/d,22.0
Afghanistan,Vitamin A apparent intake (retinol equivalents) of Vegetables and their products,µg/cap/d,220.0
Afghanistan,Vitamin A apparent intake (retinol equivalents) of Fruits and their products,µg/cap/d,37.0
Afghanistan,Vitamin A apparent intake (retinol equivalents) of Fats and oils,µg/cap/d,17.0
Afghanistan,Vitamin A apparent intake (retinol equivalents) of Sweets and sugars,µg/cap/d,6.0
Afghanistan,Vitamin A apparent intake (retinol equivalents) of Spices and condiments,µg/cap/d,19.0
Afghanistan,Vitamin A apparent intake (retinol equivalents) of Beverages,µg/cap/d,0.0
Afghanistan,Vitamin A apparent intake (retinol equivalents) of Miscellaneous,µg/cap/d,4.0
Afghanistan,Vitamin A apparent intake (retinol activity equivalents) of All food groups,µg/cap/d,212.0
Afghanistan,Vitamin A apparent intake (retinol activity equivalents) of All food groups (excluding beverages),µg/cap/d,212.0
Afghanistan,Vitamin A apparent intake (retinol activity equivalents) of Cereals and their products,µg/cap/d,0.0
Afghanistan,"Vitamin A apparent intake (retinol activity equivalents) of Roots, tubers, plantains and their products",µg/cap/d,1.0
Afghanistan,"Vitamin A apparent intake (retinol activity equivalents) of Pulses, seeds and nuts and their products",µg/cap/d,1.0
Afghanistan,Vitamin A apparent intake (retinol activity equivalents) of Milk and milk products,µg/cap/d,14.0
Afghanistan,Vitamin A apparent intake (retinol activity equivalents) of Eggs and their products,µg/cap/d,10.0
Afghanistan,"Vitamin A apparent intake (retinol activity equivalents) of Fish, shellfish and their products",µg/cap/d,0.0
Afghanistan,Vitamin A apparent intake (retinol activity equivalents) of Meat and meat products,µg/cap/d,22.0
Afghanistan,Vitamin A apparent intake (retinol activity equivalents) of Vegetables and their products,µg/cap/d,110.0
Afghanistan,Vitamin A apparent intake (retinol activity equivalents) of Fruits and their products,µg/cap/d,19.0
Afghanistan,Vitamin A apparent intake (retinol activity equivalents) of Fats and oils,µg/cap/d,16.0
Afghanistan,Vitamin A apparent intake (retinol activity equivalents) of Sweets and sugars,µg/cap/d,6.0
Afghanistan,Vitamin A apparent intake (retinol activity equivalents) of Spices and condiments,µg/cap/d,10.0
Afghanistan,Vitamin A apparent intake (retinol activity equivalents) of Beverages,µg/cap/d,0.0
Afghanistan,Vitamin A apparent intake (retinol activity equivalents) of Miscellaneous,µg/cap/d,3.0
Afghanistan,"Food, edible, apparent consumption of Cereals and their products",g/cap/d,435.6
Afghanistan,"Food, edible, apparent consumption of Roots, tubers, plantains and their products",g/cap/d,52.5
Afghanistan,"Food, edible, apparent consumption of Pulses, seeds and nuts and their products",g/cap/d,26.4
Afghanistan,"Food, edible, apparent consumption of Milk and milk products",g/cap/d,96.8
Afghanistan,"Food, edible, apparent consumption of Eggs and their products",g/cap/d,5.0
Afghanistan,"Food, edible, apparent consumption of Fish, shellfish and their products",g/cap/d,0.3
Afghanistan,"Food, edible, apparent consumption of Meat and meat products",g/cap/d,16.5
Afghanistan,"Food, edible, apparent consumption of Vegetables and their products",g/cap/d,118.2
Afghanistan,"Food, edible, apparent consumption of Fruits and their products",g/cap/d,68.9
Afghanistan,"Food, edible, apparent consumption of Fats and oils",g/cap/d,41.7
Afghanistan,"Food, edible, apparent consumption of Sweets and sugars",g/cap/d,37.1
Afghanistan,"Food, edible, apparent consumption of Spices and condiments",g/cap/d,15.1
Afghanistan,"Food, edible, apparent consumption of Beverages",g/cap/d,8.4
Argentina,Energy apparent intake of All food groups,kcal/cap/d,1822.0
Argentina,Energy apparent intake of All food groups (excluding beverages),kcal/cap/d,1743.0
Argentina,Energy apparent intake of Cereals and their products,kcal/cap/d,531.0
Argentina,"Energy apparent intake of Roots, tubers, plantains and their products",kcal/cap/d,41.0
Argentina,"Energy apparent intake of Pulses, seeds and nuts and their products",kcal/cap/d,5.0
Argentina,Energy apparent intake of Milk and milk products,kcal/cap/d,117.0
Argentina,Energy apparent intake of Eggs and their products,kcal/cap/d,17.0
Argentina,"Energy apparent intake of Fish, shellfish and their products",kcal/cap/d,5.0
Argentina,Energy apparent intake of Meat and meat products,kcal/cap/d,317.0
Argentina,Energy apparent intake of Vegetables and their products,kcal/cap/d,25.0
Argentina,Energy apparent intake of Fruits and their products,kcal/cap/d,34.0
Argentina,Energy apparent intake of Fats and oils,kcal/cap/d,178.0
Argentina,Energy apparent intake of Sweets and sugars,kcal/cap/d,144.0
Argentina,Energy apparent intake of Spices and condiments,kcal/cap/d,15.0
Argentina,Energy apparent intake of Beverages,kcal/cap/d,79.0
Argentina,Energy apparent intake of Foods for particular nutritional uses,kcal/cap/d,0.0
Argentina,Energy apparent intake of Food additives,kcal/cap/d,3.0
Argentina,Energy apparent intake of Composite dishes,kcal/cap/d,128.0
Argentina,Energy apparent intake of Savoury snacks,kcal/cap/d,7.0
Argentina,Energy apparent intake of Miscellaneous,kcal/cap/d,175.0
Argentina,Protein apparent intake of All food groups,g/cap/d,69.2
Argentina,Protein apparent intake of All food groups (excluding beverages),g/cap/d,68.4
Argentina,Protein apparent intake of Cereals and their products,g/cap/d,14.6
Argentina,"Protein apparent intake of Roots, tubers, plantains and their products",g/cap/d,1.1
Argentina,"Protein apparent intake of Pulses, seeds and nuts and their products",g/cap/d,0.3
Argentina,Protein apparent intake of Milk and milk products,g/cap/d,6.6
Argentina,Protein apparent intake of Eggs and their products,g/cap/d,1.6
Argentina,"Protein apparent intake of Fish, shellfish and their products",g/cap/d,0.9
Argentina,Protein apparent intake of Meat and meat products,g/cap/d,28.2
Argentina,Protein apparent intake of Vegetables and their products,g/cap/d,1.1
Argentina,Protein apparent intake of Fruits and their products,g/cap/d,0.5
Argentina,Protein apparent intake of Fats and oils,g/cap/d,0.0
Argentina,Protein apparent intake of Sweets and sugars,g/cap/d,1.2
Argentina,Protein apparent intake of Spices and condiments,g/cap/d,0.2
Argentina,Protein apparent intake of Beverages,g/cap/d,0.8
Argentina,Protein apparent intake of Foods for particular nutritional uses,g/cap/d,0.0
Argentina,Protein apparent intake of Food additives,g/cap/d,0.0
Argentina,Protein apparent intake of Composite dishes,g/cap/d,5.0
Argentina,Protein apparent intake of Savoury snacks,g/cap/d,0.1
Argentina,Protein apparent intake of Miscellaneous,g/cap/d,7.0
Argentina,Fat apparent intake of All food groups,g/cap/d,69.1
Argentina,Fat apparent intake of All food groups (excluding beverages),g/cap/d,68.7
Argentina,Fat apparent intake of Cereals and their products,g/cap/d,6.4
Argentina,"Fat apparent intake of Roots, tubers, plantains and their products",g/cap/d,0.0
Argentina,"Fat apparent intake of Pulses, seeds and nuts and their products",g/cap/d,0.1
Argentina,Fat apparent intake of Milk and milk products,g/cap/d,7.0
Argentina,Fat apparent intake of Eggs and their products,g/cap/d,1.2
Argentina,"Fat apparent intake of Fish, shellfish and their products",g/cap/d,0.2
Argentina,Fat apparent intake of Meat and meat products,g/cap/d,18.8
Argentina,Fat apparent intake of Vegetables and their products,g/cap/d,0.2
Argentina,Fat apparent intake of Fruits and their products,g/cap/d,0.4
Argentina,Fat apparent intake of Fats and oils,g/cap/d,19.8
Argentina,Fat apparent intake of Sweets and sugars,g/cap/d,2.6
Argentina,Fat apparent intake of Spices and condiments,g/cap/d,1.1
Argentina,Fat apparent intake of Beverages,g/cap/d,0.4
Argentina,Fat apparent intake of Foods for particular nutritional uses,g/cap/d,0.0
Argentina,Fat apparent intake of Food additives,g/cap/d,0.0
Argentina,Fat apparent intake of Composite dishes,g/cap/d,4.4
Argentina,Fat apparent intake of Savoury snacks,g/cap/d,0.4
Argentina,Fat apparent intake of Miscellaneous,g/cap/d,6.2
Argentina,Carbohydrate (available) apparent intake of All food groups,g/cap/d,216.6
Argentina,Carbohydrate (available) apparent intake of All food groups (excluding beverages),g/cap/d,204.1
Argentina,Carbohydrate (available) apparent intake of Cereals and their products,g/cap/d,101.3
Argentina,"Carbohydrate (available) apparent intake of Roots, tubers, plantains and their products",g/cap/d,8.6
Argentina,"Carbohydrate (available) apparent intake of Pulses, seeds and nuts and their products",g/cap/d,0.6
Argentina,Carbohydrate (available) apparent intake of Milk and milk products,g/cap/d,6.7
Argentina,Carbohydrate (available) apparent intake of Eggs and their products,g/cap/d,0.1
Argentina,"Carbohydrate (available) apparent intake of Fish, shellfish and their products",g/cap/d,0.0
Argentina,Carbohydrate (available) apparent intake of Meat and meat products,g/cap/d,8.3
Argentina,Carbohydrate (available) apparent intake of Vegetables and their products,g/cap/d,4.0
Argentina,Carbohydrate (available) apparent intake of Fruits and their products,g/cap/d,6.6
Argentina,Carbohydrate (available) apparent intake of Fats and oils,g/cap/d,0.0
Argentina,Carbohydrate (available) apparent intake of Sweets and sugars,g/cap/d,28.7
Argentina,Carbohydrate (available) apparent intake of Spices and condiments,g/cap/d,1.0
Argentina,Carbohydrate (available) apparent intake of Beverages,g/cap/d,12.5
Argentina,Carbohydrate (available) apparent intake of Foods for particular nutritional uses,g/cap/d,0.1
Argentina,Carbohydrate (available) apparent intake of Food additives,g/cap/d,0.6
Argentina,Carbohydrate (available) apparent intake of Composite dishes,g/cap/d,15.7
Argentina,Carbohydrate (available) apparent intake of Savoury snacks,g/cap/d,0.8
Argentina,Carbohydrate (available) apparent intake of Miscellaneous,g/cap/d,20.9
Argentina,Dietary Fibre apparent intake of All food groups,g/cap/d,12.1
Argentina,Dietary Fibre apparent intake of All food groups (excluding beverages),g/cap/d,11.5
